source,target,probability
Gateway_1,SmartMeter_1,0.7317899097272571
SmartMeter_2,Gateway_2,0.711258551192365
Gateway_2,SmartMeter_2,0.711258551192365
SmartMeter_3,Gateway_3,0.7754162124684583
Gateway_3,SmartMeter_3,0.7754162124684583
SmartMeter_2,SmartMeter_3,0.45079299127779343
SmartMeter_3,SmartMeter_2,0.45079299127779343
SmartMeter_4,Gateway_1,0.7089497688168859
Gateway_1,SmartMeter_4,0.7089497688168859
SmartMeter_5,Gateway_2,0.7109522461323635
Gateway_2,SmartMeter_5,0.7109522461323635
SmartMeter_6,Gateway_3,0.6502828341343889
Gateway_3,SmartMeter_6,0.6502828341343889
SmartMeter_7,Gateway_1,0.6767049118480782
Gateway_1,SmartMeter_7,0.6767049118480782
SmartMeter_8,Gateway_2,0.6849433675447998
Gateway_2,SmartMeter_8,0.6849433675447998
SmartMeter_7,SmartMeter_8,0.4665295159313886
SmartMeter_8,SmartMeter_7,0.4665295159313886
SmartMeter_9,Gateway_3,0.7160335648431456
Gateway_3,SmartMeter_9,0.7160335648431456
SmartMeter_8,SmartMeter_9,0.466293005852108
SmartMeter_9,SmartMeter_8,0.466293005852108
SmartMeter_10,Gateway_1,0.6731680500701791
Gateway_1,SmartMeter_10,0.6731680500701791
SmartMeter_9,SmartMeter_10,0.5500529291703178
SmartMeter_10,SmartMeter_9,0.5500529291703178
WaterSensor_1,Gateway_1,0.7657972792404039
Gateway_1,WaterSensor_1,0.7657972792404039
WaterSensor_2,Gateway_2,0.7645090834549998
Gateway_2,WaterSensor_2,0.7645090834549998
WaterSensor_3,Gateway_3,0.7329953885838892
Gateway_3,WaterSensor_3,0.7329953885838892
WaterSensor_4,Gateway_1,0.7835635581998558
Gateway_1,WaterSensor_4,0.7835635581998558
WaterSensor_5,Gateway_2,0.6983320328564022
Gateway_2,WaterSensor_5,0.6983320328564022
StreetLight_1,Gateway_1,0.5122585726789413
Gateway_1,StreetLight_1,0.5122585726789413
StreetLight_2,Gateway_2,0.5631484060271272
Gateway_2,StreetLight_2,0.5631484060271272
StreetLight_3,Gateway_3,0.5460943094676795
Gateway_3,StreetLight_3,0.5460943094676795
StreetLight_4,Gateway_1,0.5719066760090626
Gateway_1,StreetLight_4,0.5719066760090626
StreetLight_5,Gateway_2,0.5652072276428338
Gateway_2,StreetLight_5,0.5652072276428338
